spatial_id;votes;invalid;valid;spoe;oevp;fpoe;gruene;kpoe;bzoe;cpg;piraten;ekw;wir;bbb
612;357;6;351;53;82;31;59;102;1;1;20;2;0;0
613;311;18;293;34;89;42;35;78;3;5;6;1;0;0
614;269;10;259;42;68;37;27;73;0;1;6;4;1;0
615;363;2;361;61;107;45;54;72;5;3;12;1;0;1
616;392;5;387;39;128;61;51;86;4;2;13;0;0;3
617;352;4;348;31;128;43;45;72;4;7;16;1;1;0
618;506;15;491;76;131;61;69;111;8;2;28;1;1;3
619;414;12;402;49;131;62;36;106;7;1;10;0;0;0
620;372;7;365;55;111;61;36;92;4;0;4;0;1;1
621;213;1;212;31;46;45;22;62;2;0;4;0;0;0
622;265;2;263;67;49;63;18;53;6;2;5;0;0;0
623;478;8;470;79;169;64;48;84;7;2;13;0;1;3
624;300;4;296;67;82;48;20;67;4;1;7;0;0;0
625;327;3;324;81;92;63;18;64;2;2;1;1;0;0
626;332;0;332;66;65;60;27;101;7;0;4;1;1;0
627;285;2;283;84;40;56;9;84;2;0;7;0;0;1
628;215;21;194;38;30;44;5;72;4;0;1;0;0;0
629;239;10;229;40;40;45;14;80;3;2;5;0;0;0
630;306;1;305;69;75;62;10;77;8;0;3;1;0;0
631;220;5;215;40;41;45;21;58;4;0;4;0;1;1
701;316;7;309;70;69;54;7;102;5;1;0;1;0;0
702;306;0;306;68;104;42;9;65;4;2;11;0;0;1
703;364;6;358;52;142;56;23;72;4;0;7;2;0;0
704;325;5;320;44;67;74;15;100;8;1;8;0;0;3
705;434;6;428;88;182;69;24;49;6;1;6;0;0;3
706;518;6;512;81;174;85;66;77;9;2;16;0;2;0
707;356;0;356;108;112;50;26;47;4;1;5;1;2;0
708;422;1;421;106;160;80;24;41;4;1;4;1;0;0
709;365;3;362;66;144;57;19;60;4;4;4;2;1;1
710;408;3;405;73;117;76;44;82;2;3;7;0;0;1
711;403;28;375;76;127;80;24;49;6;0;9;1;2;1
712;385;1;384;87;169;59;13;42;4;1;6;0;2;1
713;415;27;388;78;166;70;16;49;5;0;3;0;0;1
714;359;16;343;75;112;76;14;52;8;0;5;0;0;1
801;442;6;436;54;153;59;66;81;5;2;14;0;0;2
802;360;3;357;52;140;53;47;49;1;0;12;2;0;1
803;419;11;408;51;166;38;66;70;4;1;12;0;0;0
804;478;8;470;51;158;41;98;102;6;0;10;1;3;0
805;445;6;439;46;122;42;119;87;2;0;21;0;0;0
806;484;13;471;41;216;61;59;79;6;0;8;1;0;0
807;462;9;453;47;180;55;61;78;11;0;15;0;2;4
808;471;2;469;48;232;43;60;56;4;3;19;0;3;1
809;381;6;375;38;151;49;45;72;5;1;6;3;1;4
810;448;6;442;61;186;55;50;60;15;1;11;0;2;1
811;416;9;407;53;138;43;65;84;9;3;8;1;1;2
812;429;6;423;38;205;63;46;56;4;1;9;1;0;0
813;516;12;504;75;202;57;48;97;7;3;10;2;0;3
814;449;3;446;67;186;65;53;60;1;2;10;0;0;2
815;509;2;507;82;193;83;43;78;6;3;12;1;2;4
816;8819;97;8722;1134;3130;1059;1348;1624;129;47;198;24;11;18
901;415;11;404;47;183;49;56;49;1;1;15;0;0;3
902;444;6;438;37;184;47;60;90;4;1;11;0;1;3
903;428;7;421;45;172;54;51;75;7;2;14;0;0;1
904;321;11;310;32;108;30;59;66;4;3;6;2;0;0
905;367;3;364;41;128;57;35;88;2;2;10;0;0;1
906;397;11;386;22;189;82;40;35;2;1;13;2;0;0
907;454;2;452;39;207;47;62;68;13;1;12;1;1;1
908;418;3;415;43;199;42;60;59;3;1;7;0;0;1
909;424;5;419;46;185;51;34;85;7;3;6;0;0;2
910;456;7;449;47;203;57;57;61;7;4;8;0;0;5
911;511;6;505;49;225;87;62;63;8;2;7;1;0;1
912;461;15;446;43;185;51;62;83;4;6;9;1;1;1
913;375;5;370;57;131;40;35;80;7;1;17;0;1;1
1001;299;2;297;41;127;23;39;56;3;0;7;0;1;0
1002;303;3;300;43;110;33;37;60;2;2;9;0;1;3
1003;396;3;393;48;162;36;61;62;5;1;15;0;0;3
1004;410;3;407;70;144;55;54;69;5;3;6;0;0;1
1005;401;4;397;42;167;40;42;80;10;4;9;0;2;1
1006;369;9;360;27;154;41;52;61;8;4;12;0;0;1
1007;398;6;392;47;180;50;41;48;8;7;10;0;0;1
1101;374;4;370;34;164;33;52;72;1;7;5;0;1;1
1102;457;5;452;31;218;47;64;70;9;1;10;0;1;1
1103;447;15;432;35;222;22;74;58;5;4;9;2;1;0
1104;404;1;403;47;152;30;74;84;3;3;8;2;0;0
1105;474;9;465;35;220;54;59;74;3;3;16;1;0;0
1106;457;9;448;38;210;40;59;74;3;4;17;1;0;2
1107;449;3;446;46;193;36;76;73;4;0;14;3;0;1
1108;495;4;491;48;219;50;66;82;7;1;15;1;0;2
1109;643;8;635;61;306;80;71;87;3;6;20;0;1;0
1201;428;8;420;78;118;67;45;80;7;15;8;1;0;1
1202;367;3;364;66;133;62;19;71;5;2;5;1;0;0
1203;420;10;410;69;146;49;51;79;5;4;4;0;2;1
1204;699;18;681;96;261;57;139;106;4;1;14;2;0;1
1205;498;38;460;80;169;38;58;86;8;7;13;0;0;1
1206;403;3;400;69;111;32;75;88;5;2;12;2;3;1
1207;433;3;430;87;165;47;43;70;8;1;9;0;0;0
1208;384;4;380;82;101;55;35;81;3;9;11;0;2;1
1209;460;4;456;79;186;37;42;80;6;6;11;2;2;5
1210;444;10;434;90;135;39;69;73;9;3;13;0;1;2
1211;411;2;409;76;153;51;29;73;14;3;8;0;0;2
1212;475;1;474;71;186;70;55;73;5;0;13;1;0;0
1213;487;5;482;95;190;53;42;84;4;6;8;0;0;0
1214;462;17;445;63;164;39;54;88;7;3;21;1;1;4
1215;473;10;463;77;169;52;49;96;6;2;10;1;1;0
1216;509;8;501;95;203;61;41;81;4;9;7;0;0;0
1217;491;4;487;84;174;57;47;91;9;7;17;0;0;1
1218;481;13;468;72;182;67;42;73;9;8;10;3;1;1
1219;481;3;478;75;229;52;46;46;11;5;10;1;1;2
1301;341;1;340;82;88;79;16;62;5;2;6;0;0;0
1302;405;33;372;67;135;46;20;85;5;1;10;1;1;1
1303;223;8;215;60;46;47;8;40;5;1;8;0;0;0
1304;314;3;311;68;97;50;22;63;5;2;1;0;1;2
1305;327;6;321;74;90;52;31;54;9;3;6;0;0;2
1306;332;6;326;46;126;42;34;63;9;2;4;0;0;0
1307;251;1;250;83;52;65;5;36;5;1;2;0;0;1
1308;420;7;413;80;131;85;38;66;3;0;7;2;0;1
1309;348;5;343;64;127;62;19;47;13;3;5;0;1;2
1310;376;2;374;60;111;52;45;76;13;4;11;2;0;0
1311;312;28;284;49;79;66;13;50;13;2;11;0;0;1
1312;166;0;166;42;44;40;7;27;5;0;1;0;0;0
1401;413;12;401;67;116;60;49;80;5;7;16;0;0;1
1402;356;2;354;65;104;84;22;63;3;2;8;0;1;2
1403;288;1;287;78;66;48;13;69;2;0;6;0;0;5
1404;269;16;253;39;72;49;28;56;1;1;7;0;0;0
1405;345;3;342;50;112;56;41;65;7;1;6;1;0;3
1406;290;5;285;44;74;66;20;72;3;1;5;0;0;0
1407;299;0;299;54;68;87;20;56;2;4;7;1;0;0
1408;459;7;452;76;152;78;45;70;6;4;19;2;0;0
1409;450;5;445;69;130;97;29;98;5;1;10;0;5;1
1410;528;4;524;68;191;71;63;102;1;4;17;5;1;1
1411;361;3;358;49;115;69;32;73;6;3;10;0;0;1
1412;305;3;302;81;66;67;14;56;4;2;10;0;2;0
1413;304;1;303;70;63;55;24;71;7;0;10;0;1;2
1414;295;0;295;65;65;49;14;86;9;0;5;1;0;1
1415;418;5;413;82;150;73;35;56;6;0;8;1;1;1
1416;369;6;363;53;115;74;39;63;10;2;6;0;0;1
1417;342;22;320;60;103;35;47;54;6;1;12;0;1;1
1418;376;1;375;47;153;39;45;71;4;4;10;1;0;1
1419;460;35;425;63;142;69;56;79;5;1;8;0;1;1
1501;326;22;304;36;108;59;22;63;4;3;9;0;0;0
1502;419;4;415;82;143;83;22;64;15;0;5;1;0;0
1503;370;4;366;116;88;60;12;79;2;0;8;0;0;1
1504;312;8;304;56;82;43;16;93;2;1;6;1;2;2
1505;499;1;498;98;142;95;40;103;6;5;7;0;0;2
1506;339;2;337;53;90;88;19;73;10;1;1;0;1;1
1507;402;5;397;67;131;84;25;75;6;1;7;0;0;1
1508;315;1;314;83;61;71;6;83;5;0;5;0;0;0
1509;287;2;285;40;99;45;13;80;3;1;4;0;0;0
1510;324;10;314;127;46;60;11;60;7;0;3;0;0;0
1511;350;4;346;61;148;50;16;56;2;1;8;1;3;0
1512;566;37;529;83;175;97;66;86;6;2;9;0;4;1
1513;401;20;381;83;113;75;26;67;7;2;6;2;0;0
1514;371;2;369;61;123;55;26;84;9;2;6;0;0;3
1515;407;4;403;44;155;88;36;57;11;1;6;4;0;1
1516;70;2;68;33;19;3;5;7;0;0;1;0;0;0
1601;385;22;363;81;120;57;22;52;7;5;13;1;0;5
1602;361;3;358;61;121;59;29;71;4;3;10;0;0;0
1603;375;8;367;51;129;63;18;88;8;2;6;0;1;1
1604;348;8;340;75;114;63;18;58;5;1;3;1;0;2
1605;404;4;400;77;145;59;37;71;4;1;3;1;0;2
1606;389;6;383;77;126;57;20;85;3;9;6;0;0;0
1607;356;2;354;93;79;74;11;70;12;7;5;1;2;0
1608;331;4;327;50;86;77;20;80;9;1;4;0;0;0
1609;530;8;522;120;168;102;36;76;6;2;12;0;0;0
1610;476;15;461;102;164;90;19;65;6;4;10;0;0;1
1611;492;5;487;105;160;90;28;88;8;0;5;1;1;1
1612;384;6;378;85;121;68;13;77;2;0;8;3;0;1
1613;368;8;360;94;107;65;14;74;2;0;4;0;0;0
1614;579;8;571;78;266;82;48;71;8;6;11;0;0;1
1701;396;4;392;55;138;80;33;73;6;1;4;0;0;2
1702;356;3;353;73;111;68;33;48;7;1;12;0;0;0
1703;312;3;309;62;85;87;15;42;5;1;5;0;2;5
1704;458;4;454;75;134;101;28;88;6;6;12;1;1;2
1705;311;3;308;67;104;57;16;39;10;4;10;0;0;1
1706;392;6;386;76;131;74;24;65;4;0;8;0;0;4
1707;417;3;414;86;111;82;32;74;16;4;8;1;0;0
2798;5076;53;5023;684;1891;535;815;814;55;31;163;13;6;16
2799;594;34;560;159;273;42;21;55;4;1;4;0;1;0
